comarca,2012,2011,2010,2009,2008,2007,2006
RIO DE JANEIRO,1671,7727,13381,12622,8049,6092,4328
Nova Iguaçu,935,2456,2417,2866,3327,2465,1954
Campo Grande,297,1071,985,1178,1180,1174,1354
Nilópolis,275,789,630,833,865,773,809
São João de Meriti,188,1099,927,1065,1189,725,933
Santa Cruz,131,1104,845,862,726,634,567
Duque de Caxias,124,664,555,693,780,581,971
Queimados,112,407,505,507,375,330,393
Itaguaí,106,186,170,198,259,213,244
Guadalupe,105,283,337,546,450,706,531
Miguel Pereira,92,40,76,54,39,32,37
Madureira,89,429,409,534,423,565,466
Olaria,85,308,393,350,340,391,386
Belford Roxo,84,535,500,619,778,493,443
Freguesia,84,387,458,374,277,349,353
Bangu,83,696,621,3,0,1,1
Barra Mansa,80,521,186,183,239,208,179
Volta Redonda,79,195,220,209,291,293,670
Taquara,71,305,532,656,493,393,429
Penha,70,301,410,351,348,443,445
Barra da Tijuca,67,321,314,339,180,206,241
Copacabana,65,136,117,139,99,140,105
Japeri,61,222,176,137,126,84,99
Ilha do Governador,53,268,363,400,315,456,414
Méier,41,233,216,240,267,282,292
Piraí,40,18,35,13,17,15,18
Três Rios,38,115,138,178,208,266,271
Pavuna,32,196,307,295,234,273,300
Piedade,32,143,250,146,149,213,206
Catete,30,169,176,178,140,180,177
Valença,27,85,93,91,98,74,86
Seropédica,23,60,70,70,133,86,106
Tijuca,20,127,157,141,108,163,100
Maracanã,18,80,127,88,60,117,100
Paracambi,17,138,72,85,100,37,45
Barra do Piraí,13,61,62,96,110,97,70
Gávea,12,58,14,2,0,0,0
Pinheiral,11,26,16,32,28,126,41
Paraíba do Sul,10,37,42,37,36,287,83
Vassouras,10,17,25,30,48,51,41
Mendes,6,26,35,28,40,59,41
Mesquita,6,14,19,16,13,2,0
Paty do Alferes,5,26,57,38,36,41,32
Carmo,5,11,10,9,14,11,13
Rio das Flores,4,6,5,9,2,3,6
Cachoeiro de Itapemirim - ES,3,2,1,1,2,0,0
Vitória - ES,3,2,2,1,2,0,0
Sapucaia,2,13,12,13,9,10,6
Maricá,2,6,4,6,1,4,1
Engenheiro Paulo de Frontin,2,5,12,13,3,0,1
Niterói,2,8,7,14,10,14,3
Cabo Frio,2,4,2,6,9,2,1
Comendador Levy Gasparian,2,4,6,5,0,0,0
Sabará - MG,2,0,0,0,0,0,0
Rio Claro,1,15,11,7,8,12,14
São Gonçalo,1,7,4,5,7,2,3
Campina Grande - PB,1,2,1,0,0,0,0
Resende,1,3,1,3,2,2,1
Magé,1,8,6,13,6,1,4
Petrópolis,1,3,12,8,4,3,1
Uberaba - MG,1,0,0,0,0,0,0
João Pessôa - PB,1,6,7,1,0,1,0
Teresópolis,1,9,7,6,3,2,2
Colatina - ES,1,1,0,1,0,0,0
Nova Friburgo,1,2,1,2,1,1,0
Teresina - PI,1,0,0,0,0,0,0
Cidade de Deus,1,2,0,0,0,0,0
Nova Venécia - ES,1,1,0,0,0,0,0
Bom Jesus do Itabapoana,1,1,1,0,1,0,1
Floriano - PI,1,1,0,0,0,0,0
Santos - SP,1,0,1,1,0,0,0
São Fidelis,1,1,1,0,1,0,0
Jaboatão dos Guararapes - PE,1,0,0,0,0,0,0
Belo Horizonte - MG,1,0,1,3,4,0,0
Curitiba - PR,1,0,2,0,0,0,0
Itaquaquecetuba - SP,1,0,0,0,1,0,0
Mossoró - RN,1,1,0,0,0,0,0
Parati,1,1,0,0,0,0,0
Bataguaçu - MS,1,0,0,1,0,0,0
Barbacena - MG,1,1,0,0,0,0,0
Ananindeua - PA,1,0,1,0,1,0,0
Rio Grande - RS,1,0,0,0,0,0,0
Humaita,0,6,85,72,86,85,46
Realengo,0,11,434,993,678,627,906
